DCRAINTERNALNUMBER,ISSUE_DATE,PERMIT_ID,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,PERMIT_CATEGORY_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,DESC_OF_WORK,SSL,ZONING,PERMIT_APPLICANT,FEE_TYPE,FEES_PAID,OWNER_NAME,LASTMODIFIEDDATE,CITY,STATE,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
140900842,11/5/2008 12:00:00 AM,E0900842,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,4710 30TH ST NW,,2263    0823,FH-TSP/R-1-A,R.L.  THOMPSON INC (AFO); ROBERT L THOMPSON (AFO),,73,ROY E BROWNELL II,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.951264761021,-77.06190350667420,20008,219607,62714,62714,3,3F,3F03,SECOND,203,12,NONE,NONE,NONE,NONE
140900844,11/5/2008 12:00:00 AM,E0900844,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,2418 18TH ST NW,,2551    0056,C-2-B,MARK A. DOLS (AFO); M.R.  ELECTRICIANS INC (AFO),20.00 (WIRING),20,VALIRA LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.921222013965,-77.04248803766980,20009,235399,78081,78081,1,1C,1C03,THIRD,303,1,NONE,NONE,NONE,ADAMS MORGAN BID
140900845,11/6/2008 12:00:00 AM,E0900845,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,5408 CATHEDRAL AVE NW,,1443    0816,R-1-B,DENNIS  MISAL (AFO); DENNIS A MISAL (AFO),,299,MARTIN W SUMNER,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.92908420475540,-77.10797859973260,20016,268833,112001,112001,3,3D,3D04,SECOND,205,13,NONE,NONE,NONE,NONE
140900852,11/5/2008 12:00:00 AM,E0900852,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1827 KENDALL ST NE,,4047    0015,R-4,MIKE'S  ELECTRIC (AFO); MICHAEL S THOMAS (AFO),,40,LORRINGTON MCCRAE,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.91194600713080,-76.98611035170360,20002,55233,27558,27558,5,5B,5B09,FIFTH,505,23,NONE,NONE,NONE,NONE
140900861,11/5/2008 12:00:00 AM,E0900861,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1201 MARYLAND AVE SW,,0267    0042,,DARYL  STEVENS (AFO); DARYL R STEVENS (AFO),40.00 (MISCITEM23),40,PARCEL 47D LLC,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.88469168135790,-77.02935128236720,20024,300320,168222,168222,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,NONE
140900862,11/5/2008 12:00:00 AM,E0900862,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1445 NEW YORK AVE NW,,0222    0814,C-4,JAMES  COLEY (AFO); JAMES F COLEY (AFO),,675,PONTE GADEA OF WASHINGTON LLC,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.89935248515860,-77.03292203026330,20005,218285,61399,61399,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
140900869,11/6/2008 12:00:00 AM,E0900869,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,2001 K ST NW,,0076    0091,C-3-C,ROBERT  IAWALL (AFO); ROBERT U LAWALL (AFO),,80,CUSHMAN & WAKEFIELD,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.90298755380450,-77.04525789335110,20006,242788,86060,86060,2,2A,2A06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140900870,11/6/2008 12:00:00 AM,E0900870,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,620 F ST NW,,0456    7021,DD/C-4,LEO E HOWELL (AFO); LEO  HOWELL (AFO),20.00 (WIRING),20,BAC F STREET LLC,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.89711997057110,-77.02061365179850,20004,297646,133427,133427,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
140900872,11/6/2008 12:00:00 AM,E0900872,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1130 CONNECTICUT AVE NW,,0161    0039,C-4,H. DONALD  LAUT (AFO); HERBERT D LAUT (AFO),380.00 (WIRING); 20.00 (MISCITEM5); 40.00 (MISCITEM17); 20.00 (MISCITEM7); 20.00 (MOTORS9); 20.00 (MISCITEM6),500,PENZANCE 1130 PROPERTY OWNER LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90464130236610,-77.04112904422450,20036,241787,85066,85066,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140900874,11/6/2008 12:00:00 AM,E0900874,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,2419 ONTARIO RD NW,,2566    0092,R-5-B,CONSTENTINE  RODOUSAKIS (AFO); CONSTANTIN  RODOUSAKIS (AFO),,215,2417 ONTARIO LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.92204653028220,-77.03997910305990,20009,277159,119267,119267,1,1C,1C07,THIRD,303,1,NONE,NONE,NONE,NONE
140900875,11/6/2008 12:00:00 AM,E0900875,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,2415 ONTARIO RD NW,,2566    0091,R-5-B,CONSTANTIN  RODOUSAKIS (AFO); CONSTENTINE  RODOUSAKIS (AFO),247.00 (METER1),247,2417 ONTARIO LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.92192609091780,-77.03997350030480,20009,277157,119265,119265,1,1C,1C07,THIRD,303,1,NONE,NONE,NONE,NONE
140900879,11/6/2008 12:00:00 AM,E0900879,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1457 BRUCE ST SE,,5885    0048,,JAMES H BRADBY (AFO); J.H  BRADBY (AFO),,364,FDS HOMEWONERSHIP LLC,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.85027447286770,-76.98386048270350,20020,155128,265466,265653,8,8E,8E01,SEVENTH,704,38,NONE,NONE,NONE,NONE
140900884,11/6/2008 12:00:00 AM,E0900884,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1200 1ST ST NE,,0672    0849,,JAY E LIVESAY (AFO); JAY  LIVESAY (AFO),,40,VEF-VN CAPITOL PLAZA I LLC,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.90608754292470,-77.00635568925170,20002,302635,168114,168114,6,6C,6C04,FIFTH,506,25,NONE,NONE,NONE,NOMA BID
140900894,11/6/2008 12:00:00 AM,E0900894,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,2900 K ST NW,,1171    0814,W-2,DAVID B FARMER (AFO); DAVID  FARMER (AFO),200.00 (WIRING); 40.00 (MISCITEM22); 60.00 (MISCITEM23),300,THE KINGDOM OF SWEDEN,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.90198474191470,-77.058633447751,20007,273874,116633,116633,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
140900899,11/7/2008 12:00:00 AM,E0900899,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,1004 G ST NE,,0959    0069,R-4,RALPH E. THREATT (AFO); LEE  ELECTRICAL CO (AFO),,451,HARRY L JOHNSON,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.89910498713090,-76.99215816048350,20002,76291,49782,49782,6,6A,6A02,FIRST,104,25,NONE,NONE,NONE,NONE
140900901,11/7/2008 12:00:00 AM,E0900901,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,500 C ST SW UNIT MEZZ./3RD,,0493    0807,C-3-C,JAMES H DEANER (AFO); JAMES  DEANER (AFO),,140,DONOHOE REAL ESTATE,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.88556985192010,-77.01867201068880,20024,276666,119060,119060,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,NONE
140900917,11/7/2008 12:00:00 AM,E0900917,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1101 15TH ST NW,,0214    0106,C-4,MICHAEL  MASALANIK (AFO); MICHAEL F RAFFAEL (AFO),20.00 (MISCITEM23); 20.00 (WIRING),40,1101 FIFTEENTH LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90393340330490,-77.03421525813980,20005,243422,86625,86625,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
140900935,11/10/2008 12:00:00 AM,E0900935,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1805 ERIE ST SE,,5821    0041,R-2,BROOKS  ELECTRICAL CONTRACTOR & ASSOCIATES (AFO); CLAYTON E BROOKS (AFO),,20,CYNTHIA D BATTLE,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.85710679745820,-76.97863058757710,20020,56076,33258,33258,8,8B,8B04,SEVENTH,702,37,NONE,NONE,NONE,NONE
140900937,11/10/2008 12:00:00 AM,E0900937,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1615 M ST NW,,0182    0828,DC/SP-2,DANIEL A BARBIERI (AFO); MIDLAND  ELECTRICAL CONT. INC (AFO),20.00 (MISCITEM17); 140.00 (WIRING),160,17M ASSOCIATES & DISTRICT OF COLUMBIA,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.90585437387010,-77.03735337386020,20036,301103,177507,177507,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140900939,11/10/2008 12:00:00 AM,E0900939,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,1215 44TH ST NE,,5121    0805,R-1-B,PAUL M. KOLB (AFO); KOLB  ELECTRIC INC (AFO),20.00 (SERVICE3); 39.00 (METER1),59,I CUNNINGHAM,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90616962945650,-76.94005835347860,20019,71438,45310,45310,7,7D,7D02,SIXTH,601,29,NONE,NONE,NONE,NONE
140900946,11/10/2008 12:00:00 AM,E0900946,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,4415 GREENWICH PKWY NW,,1350    0119,R-3,JOHN D SHARROW (AFO); J & S  ELECTRIC CORP. (AFO),,99,DENIS D BURKE TRUSTEE,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.91189421225380,-77.08222057187510,20007,271220,114384,114384,3,3D,3D09,SECOND,205,13,NONE,NONE,NONE,NONE
140900947,11/10/2008 12:00:00 AM,E0900947,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,5007 10TH ST NE,,3898    0004,R-2,J & S  ELECTRIC CORP. (AFO); JOHN D SHARROW (AFO),,120,LORENA B THOMAS,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.95055322456480,-76.99255304343950,20017,15382,9438,9438,5,5A,5A03,FOURTH,405,20,NONE,NONE,NONE,NONE
140900948,11/10/2008 12:00:00 AM,E0900948,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1515 14TH ST NW,,0241    0129,ARTS/C-3-A,JAY  LIVESAY (AFO); JAY E LIVESAY (AFO),,272,1515 14TH STREET LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.91030727111060,-77.03161625706990,20005,279214,121371,121371,2,2F,2F01,THIRD,307,7,NONE,NONE,NONE,NONE
140900949,11/10/2008 12:00:00 AM,E0900949,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1233 20TH ST NW,,0116    0076,DC/C-3-C,JAMES A. WILLIAMS (AFO); J.W.  ELECTRIC SERVICE (AFO),,40,BR-CORE 1233 20TH STREET LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90670379185260,-77.04449516845370,20036,243288,86219,86219,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140900950,11/10/2008 12:00:00 AM,E0900950,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,7230 15TH PL NW,,2736    0056,R-1-B,MIKE  RAFFAEL (AFO); MICHAEL F RAFFAEL (AFO),,,KENYATTA JENKINS,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.97734812077450,-77.03532171804150,20012,256198,99066,99066,4,4A,4A01,FOURTH,401,16,NONE,NONE,NONE,NONE
140900967,11/12/2008 12:00:00 AM,E0900967,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,110 IRVING ST NW,,3129    0804,D/R-5-A,MONA  ELECTRIC GROUP INC (AFO); PAUL E WARREN (AFO),,80,WASHINGTON HOSPITAL CENTER,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.92965227704640,-77.01564830264470,20010,228314,71649,71649,5,5C,5C07,FOURTH,405,21,NONE,NONE,NONE,NONE
140900968,11/12/2008 12:00:00 AM,E0900968,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,4426 14TH ST NE,,3975    0028,R-2,PATIROT  ELECTRIC INC (AFO); TALBOT  WATKINS (AFO),,59,CHRISTOPHER H KNUDSON,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.94374100669360,-76.98594762347130,20017,21593,12901,12901,5,5A,5A05,FOURTH,405,20,NONE,NONE,NONE,NONE
140900969,11/12/2008 12:00:00 AM,E0900969,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,600 MARYLAND AVE SW,,0463    0024,C-3-C,JAMES  COLEY (AFO); JAMES F COLEY (AFO),,20,OCEAN VIEW DEVELOPMENT COMPANY LP,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.88596212090520,-77.02106109180750,20024,5831,5029,5029,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,NONE
140900971,11/12/2008 12:00:00 AM,E0900971,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,4520 BUTTERWORTH PL NW,,1567    0015,R-1-B,JAMES  STICKLEY (AFO); JAMES F. STICKLEY (AFO),,160,T R THOMPSON,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.948595196443,-77.08964124913730,20016,267523,110686,110686,3,3E,3E02,SECOND,202,11,NONE,NONE,NONE,NONE
140900974,11/14/2008 12:00:00 AM,E0900974,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1695 34TH ST NW,,1295    0262,R-3,MARK A. DOLS (AFO); M.R.  ELECTRICIANS INC (AFO),,135,JOHN MERZ,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.91352985377480,-77.06776866032570,20007,273426,116562,116562,2,2E,2E02,SECOND,206,4,NONE,NONE,NONE,NONE
140900975,11/13/2008 12:00:00 AM,E0900975,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,723 7TH ST NE,,0890    0020,R-4,M.R.  ELETICIANS (AFO); MARK A. DOLS (AFO),,59,ALEXANDER ACKEMANN,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.89962225885810,-76.99591834965630,20002,77856,51202,51202,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,NONE
140900977,11/13/2008 12:00:00 AM,E0900977,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,3535 14TH ST NW,,2827S   0044,C-2-A,TALBERT E DOWLING (AFO); EMERGENCY  SECURITY (AFO),,33,MARLENY A FLORES,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.93594075164190,-77.03248079420430,20010,230231,73233,73233,1,1A,1A04,FOURTH,409,2,NONE,NONE,NONE,NONE
140900995,11/13/2008 12:00:00 AM,E0900995,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,1300 I ST NW,,0250    0051,C-4,K & W   (AFO); ROBERT K WILLETT (AFO),,120,TIAA FRANKLIN SQUARE LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90099342421960,-77.03034769914220,20005,240649,83663,83663,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
140900999,11/13/2008 12:00:00 AM,E0900999,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1625 K ST NW,,0184    0804,C-4,JOHN  KIRLIN (AFO); JAMES C. GYURAS (AFO),,20,SRI SEVEN K ST LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.902923218271,-77.03740959755580,20006,242032,84979,84979,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140901000,11/13/2008 12:00:00 AM,E0901000,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,1307 T ST NW UNIT 00003,,0237    2003,R-4,RONALD L TIEVY (AFO); RONALD  TIEVY (AFO),100.00 (METER2),100,CRISTINA DOMINGUEZ,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.91579601778120,-77.030035864669,20009,226663,69326,69326,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
140901001,11/17/2008 12:00:00 AM,E0901001,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1814-1820 23RD ST SE,,5627    0093,R-5-A,JOHN H THOMSON (AFO); JOHN H THOMSON (AFO); JOHN H THOMSON (AFO); JOHN  THOPSON (AFO),,549,HILLSIDE TERRACE LLC,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.86735021973540,-76.97276581140710,20020,148103,57379,57379,8,7B,7B03,SEVENTH,701,34,NONE,NONE,NONE,NONE
140901003,11/13/2008 12:00:00 AM,E0901003,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,"2011 PENNSYLVANIA AVE NW UNIT 4TH,7TH,8",,0078    0037,,WILLIAM E BREIDENBACH (AFO); ENNIS  ELECTRIC CO INC (AFO),,200,2011 I LAND LTD,5/1/2012 5:20:45 AM,WASHINGTON,DC,0,0,,0,410084,352991,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
140901004,11/13/2008 12:00:00 AM,E0901004,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,824 D ST SE,,0924    0076,R-4,JONTY  HARRIS (AFO); JONTY T HARRIS (AFO),,462,FRED T NESTER,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.88474819356340,-76.99417904604110,20003,80843,52313,52313,6,6B,6B05,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
140901007,11/13/2008 12:00:00 AM,E0901007,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,2723 Q ST NW,,1285    0002,R-1-B,JUAN E PENA (AFO); ESCO   (AFO),20.00 (MISCITEM22); 80.00 (WIRING),100,RUSSELL KATZ,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.91083804052560,-77.05628792486350,20007,273150,116263,116263,2,2E,2E07,SECOND,206,4,NONE,NONE,NONE,NONE
140901008,11/13/2008 12:00:00 AM,E0901008,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1432 SPRING RD NW,,2690    0056,R-4,ESCO   (AFO); JUAN E PENA (AFO),39.00 (METER1); 40.00 (WIRING),79,MARIA DEL CARM GUEVARA,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.93723238589090,-77.03459329718210,20010,258962,101867,101867,1,1A,1A01,FOURTH,409,2,NONE,NONE,NONE,NONE
140901009,11/13/2008 12:00:00 AM,E0901009,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,507 H ST NW,,0485    0003,DD/C-2-C,JOHN J CROWDER (AFO); JOHNNY  CROWDER (AFO),,421,SHING Y LUI,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.89999810356190,-77.01925461787210,20001,238926,82235,82235,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
140901011,11/13/2008 12:00:00 AM,E0901011,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1720 I ST NW,,0127    0048,C-4,BRUCE D BARNES (AFO); ECHO  ELECTRIC CO INC (AFO),,20,ROBERT ARTHUR,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90102593850260,-77.04047214886570,20006,279343,121411,121411,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140901012,11/13/2008 12:00:00 AM,E0901012,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,901 15TH ST NW,,0218    0080,C-4,BRUCE D BARNES (AFO); ECHO  ELECTRIC CO. INC. (AFO),,40,MULLEN MANAGEMENT CO,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90162298665850,-77.03311733264010,20005,218779,62196,62196,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
140901019,10/2/2008 12:00:00 AM,E0901019,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,1952 3RD ST NE,,3565,R-4,JOHN A TRAYLOR (AFO),91.00 (MISCITEM8); 400.00 (WIRING); 52.00 (METER2); 103.00 (METER1); 20.00 (MISCITEM23); 44.00 (MISCITEM7); 41.00 (MISCITEM4); 44.00 (MISCITEM5); 44.00 (MISCITEM6),839,JOHN LEE,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.91709299905670,-77.00241815675280,20002,53380,22417,22417,5,5C,5C05,FIFTH,502,21,NONE,NONE,NONE,NONE
140901032,11/13/2008 12:00:00 AM,E0901032,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,2410 SOUTH DAKOTA AVE NE,,4361    0032,R-1-B,AES  ELECTRICAL SERVICE (AFO); ANTHONY P GIVENS (AFO),,71,LAWRENCE RATTLEY,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.922761304867,-76.96207559138850,20018,47644,32620,32620,5,5B,5B09,FIFTH,503,24,NONE,NONE,NONE,NONE
140901033,11/13/2008 12:00:00 AM,E0901033,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,5000 OVERLOOK AVE SW,,PAR 02600014,,JUAN  PENA (AFO); JUAN E PENA (AFO),,325,DISTRICT OF COLUMBIA,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.82043253208450,-77.01847084954780,20032,276170,118344,118344,8,8D,8D04,SEVENTH,708,NONE,NONE,NONE,NONE,NONE
140901034,11/13/2008 12:00:00 AM,E0901034,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,2011 PENNSYLVANIA AVE NW UNIT 400,,0078    0037,,HAROLD CLINTON FELTS (AFO); SIEMENS  BUILDING TECHNOLOGIES (AFO),,,PEPPERDINE UNIVERSITY,5/1/2012 5:20:47 AM,WASHINGTON,DC,0,0,,0,410084,352991,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
140901049,11/14/2008 12:00:00 AM,E0901049,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,4308 FOREST LN NW,,1619    0089,WH/R-1-A,SAGE D MAAS (AFO); MAAS  ELECTRIC LLC (AFO),,731,GINA D COBURN,5/1/2012 5:20:46 AM,,,0,0,,-100,-100,348291,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
140901052,11/14/2008 12:00:00 AM,E0901052,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,607 14TH ST NW UNIT 275,,0253    0066,DD/C-4,FIRE  PROTECTIVE SYSTEMS INC (AFO); JAMES W LASHER (AFO),,305,DESPA GESELLSCHAFT,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.897758277465,-77.03161011900430,20005,242889,85822,85822,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
140901056,11/14/2008 12:00:00 AM,E0901056,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,4636 RESERVOIR RD NW,,1368    0024,R-1-B,R.L.  THOMPSON INC (AFO); ROBERT L THOMPSON (AFO),,98,JOSE F LONGHIN,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.91343267379470,-77.08824846224960,20007,224423,67145,67145,3,3D,3D06,SECOND,205,13,NONE,NONE,NONE,NONE
140901062,11/14/2008 12:00:00 AM,E0901062,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,4400 MASSACHUSETTS AVE NW,,1600    0001,D/R-5-A,EARL R MITCHELL (AFO); CITY  GENERAL INC (AFO),,20,AMERICAN UNIVERSITY,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.93908175542180,-77.08841481823950,20016,223994,67320,67320,3,3D,3D02,SECOND,202,13,NONE,NONE,NONE,NONE
140901115,11/18/2008 12:00:00 AM,E0901115,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,900 19TH ST NW,,0086    0845,C-3-C,BERNARD G KALB (AFO),20.00 (MISCITEM5); 20.00 (MISCITEM7); 100.00 (APPLIANCE2); 40.00 (MOTORS9); 87.00 (METER1); 55.00 (TRANSFORM3); 81.00 (MOTORS1); 480.00 (WIRING),883,"PRESIDENTIAL PLAZA, L.P. DELWARE LIMITED",5/1/2012 5:20:46 AM,WASHINGTON,DC,38.901640253956,-77.043867513345,20006,242553,85489,85489,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140901142,11/19/2008 12:00:00 AM,E0901142,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,1202 G ST NE,,1004    0295,R-4,(AFO); JAYSON K JOLIVETTE (AFO),,,CHRIS HOMAN,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.89908598583750,-76.98989520730260,20002,72126,45921,45921,6,6A,6A02,FIRST,104,25,NONE,NONE,NONE,NONE
140901177,11/20/2008 12:00:00 AM,E0901177,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,815 CONNECTICUT AVE NW,,0186    0810,C-4,THOMAS C JEWELL (AFO); THOMAS G COLLINS (AFO),,623,"ALECTA PENSIONS FORSAKRING, OMSESIDIGT",5/1/2012 5:20:46 AM,WASHINGTON,DC,38.900961465504,-77.03797749278450,20006,218768,62189,62189,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
140901235,11/21/2008 12:00:00 AM,E0901235,SUPPLEMENTAL,ELECTRICAL,NA,COMPLETED,4314 13TH PL NE,,0000    0000,,ROBERT H BROCK-SMITH (AFO); YUSUK  PARK (AFO),20.00 (SERVICE3); 39.00 (METER1),59,NICOLE BOYKINS,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.94248002301280,-76.98750106814450,20017,23639,12263,12263,5,5A,5A05,FOURTH,405,20,NONE,NONE,NONE,NONE
140901264,11/24/2008 12:00:00 AM,E0901264,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,500 INDIANA AVE NW,,0490    0829,,CHARLES  BOWMAN (AFO); (AFO),,80,DISTRICT OF COLUMBIA,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.89408489080330,-77.01890466880380,20001,285553,124410,124410,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
140901276,11/24/2008 12:00:00 AM,E0901276,SUPPLEMENTAL,ELECTRICAL,NA,PERMIT ISSUED,600 14TH ST NW,,0224    0824,DD/C-4,GREGORY F GIBSON (AFO); GREGORY M GIBSON (AFO),120.00 (WIRING); 20.00 (MISCITEM17); 39.00 (METER1),179,SRI SIX HAMILTON SQUARE LLC,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.89738325405190,-77.03206836777080,20005,300970,216028,216028,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
